amt,city_pop,dob,is_fraud,amt_z,cat_amt_z,hour_perc,distance,dist_z,category_food_dining,category_gas_transport,category_grocery_net,category_grocery_pos,category_health_fitness,category_home,category_kids_pets,category_misc_net,category_misc_pos,category_personal_care,category_shopping_net,category_shopping_pos,category_travel,gender_M
11.73,5507,1973,1,-0.3127310684582022,-3.859367911639092,0.20750068436901178,52.154384984604455,-0.7786638407662608,0,1,0,0,0,0,0,0,0,0,0,0,0,1
328.68,5507,1973,1,1.8030195267829934,9.831367107576995,0.20750068436901178,88.66128164091147,0.4975734122335865,0,0,0,1,0,0,0,0,0,0,0,0,0,1
120.58,5507,1973,1,0.4138802339302002,1.5138916215594198,0.3361620585819874,105.62273499688875,1.0905254465220922,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1081.35,5507,1973,1,6.827351441975265,2.812675171603453,0.3076923076923077,112.93138051961921,1.3460269144472685,0,0,0,0,0,0,0,0,0,0,1,0,0,1
776.7,5507,1973,1,4.79370759013671,1.952897866502231,0.3076923076923077,123.23803629747127,1.70633521951566,0,0,0,0,0,0,0,0,0,0,1,0,0,1
952.08,270712,1972,1,6.3123026787847705,3.6185344074961807,0.20109439124487005,10.900856790147346,-2.2959611867363487,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1060.34,270712,1972,1,7.105318128730134,5.889504780039243,0.20109439124487005,113.5499227164187,1.1321913158030348,0,0,0,0,0,0,0,0,0,0,1,0,0,0
308.84,5507,1973,1,1.670580682140036,9.103219761030111,0.14864494935669312,86.1998503198607,0.4115247300571762,0,0,0,1,0,0,0,0,0,0,0,0,0,1
19.19,270712,1972,1,-0.5212109282679799,-0.7707064163468647,0.35704514363885087,52.10895535680323,-0.9197416863305901,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1033.78,5507,1973,1,6.509805280701804,2.678424042755053,0.3361620585819874,13.829140505655518,-2.1184683493456333,0,0,0,0,0,0,0,0,0,0,1,0,0,1
859.46,5507,1973,1,5.3461591416816265,2.1864615289679366,0.3076923076923077,54.355084581578915,-0.7017300264581818,0,0,0,0,0,0,0,0,0,0,1,0,0,1
728.77,5507,1973,1,4.473758304666098,1.91608433318653,0.3076923076923077,54.08298395167318,-0.711242337617351,0,0,0,0,0,0,0,0,0,0,0,1,0,1
25.27,270712,1972,1,-0.47667431330707266,-0.6620275884766283,0.2911080711354309,99.42910893848085,0.6606010226629103,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23.18,270712,1972,1,-0.4919837746998845,-0.699385935557022,0.20109439124487005,102.21967039641886,0.7537969047607693,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20.96,5507,1973,1,-0.2511176341812619,-0.8284753611658938,0.20750068436901178,73.41358378484313,-0.0354677884360526,0,0,0,0,0,0,1,0,0,0,0,0,0,1
224.94,270712,1972,1,0.9859286322923254,3.2352995124713972,0.20109439124487005,76.97462136222461,-0.08930748437671586,0,0,0,0,0,1,0,0,0,0,0,0,0,0
813.73,270712,1972,1,5.298874935389785,4.0154265618278595,0.20109439124487005,122.97861122893386,1.4470795403394316,0,0,0,0,0,0,0,1,0,0,0,0,0,0
377.28,270712,1972,1,2.1018345407042665,8.151324475629234,0.20109439124487005,65.57609430839938,-0.4699820544979915,0,0,0,1,0,0,0,0,0,0,0,0,0,0
